Days from Unification,Number of Fish,Species
634,133,Tripterygiidae
632,133,Tripterygiidae
543,133,Tripterygiidae
669,133,Tripterygiidae
661,133,Tripterygiidae
648,133,Tripterygiidae
640,133,Tripterygiidae
577,133,Tripterygiidae
560,133,Tripterygiidae
548,133,Tripterygiidae
503,133,Tripterygiidae
497,133,Tripterygiidae
534,133,Tripterygiidae
528,133,Tripterygiidae
56,133,Tripterygiidae
